./sim.out

Started

L1 Error is - 0.375518
Explore seeds [129, 94, 211, 272, 212, 163, 40, 15, 385, 89, ]
Spread - 17
0->1 | 15->0 | 28->2 | 40->0 | 89->0 | 94->0 | 123->1 | 129->0 | 163->0 | 195->2 | 199->2 | 211->0 | 212->0 | 272->0 | 334->1 | 355->1 | 385->0 | 
Nodes -> 
NodeID IsInfluenced InfluencedBy Timestep
147 1 473 1 
156 1 372 3 
157 1 449 5 
159 1 235 1 
160 1 481 1 
161 1 320 6 
163 1 -1 0 
169 1 476 6 
170 1 156 4 
180 1 487 4 
183 1 170 5 
184 1 419 7 
185 1 345 7 
188 1 31 5 
194 1 436 3 
195 1 481 1 
196 1 376 7 
203 1 349 6 
216 1 283 2 
217 1 351 2 
220 1 398 5 
222 1 39 6 
225 1 481 1 
230 1 144 3 
235 1 -1 0 
239 1 318 6 
245 1 449 5 
253 1 285 5 
256 1 483 1 
261 1 -1 0 
264 1 34 4 
266 1 487 4 
271 1 434 4 
277 1 417 4 
280 1 434 4 
282 1 487 4 
283 1 483 1 
284 1 112 4 
285 1 480 4 
287 1 492 2 
293 1 2 7 
297 1 245 6 
302 1 216 3 
304 1 95 3 
306 1 492 2 
311 1 376 7 
313 1 474 3 
315 1 -1 0 
317 1 481 1 
318 1 285 5 
320 1 353 5 
326 1 304 4 
329 1 24 2 
333 1 345 7 
337 1 280 5 
339 1 75 8 
345 1 320 6 
349 1 280 5 
351 1 481 1 
353 1 97 4 
354 1 480 4 
356 1 188 6 
359 1 147 2 
361 1 345 7 
363 1 403 5 
372 1 160 2 
376 1 410 6 
377 1 194 4 
378 1 481 1 
382 1 476 6 
386 1 363 6 
389 1 351 2 
390 1 261 1 
394 1 492 2 
398 1 97 4 
403 1 480 4 
408 1 117 10 
410 1 414 5 
414 1 463 4 
417 1 144 3 
419 1 220 6 
420 1 75 8 
423 1 481 1 
434 1 51 3 
435 1 481 1 
436 1 492 2 
438 1 487 4 
449 1 417 4 
453 1 329 3 
457 1 478 5 
460 1 414 5 
463 1 436 3 
473 1 -1 0 
474 1 283 2 
476 1 71 5 
478 1 487 4 
480 1 217 3 
